Line Item,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14
(enter date),,,,,,,,,,,,,,
OPENING CASH BALANCE,42000,49330,,,,,,,,,,,,
,,,,,,,,,,,,,,
CASH IN,,,,,,,,,,,,,,
Shopify / DTC payouts,6500,,,,,,,,,,,,,
Amazon settlements,3200,,,,,,,,,,,,,
Wholesale / AR collections,0,,,,,,,,,,,,,
Financing draws (loan / MCA),0,,,,,,,,,,,,,
Other cash in,0,,,,,,,,,,,,,
TOTAL CASH IN,9700,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CASH OUT,,,,,,,,,,,,,,
Inventory / supplier payments,0,,,,,,,,,,,,,
Ad spend (Meta / Google / TikTok),1400,,,,,,,,,,,,,
Payroll & contractors,0,,,,,,,,,,,,,
Software & apps,220,,,,,,,,,,,,,
Merchant & marketplace fees,0,,,,,,,,,,,,,
Shipping & fulfillment / 3PL,600,,,,,,,,,,,,,
Loan / financing repayments,0,,,,,,,,,,,,,
Sales tax remittance,0,,,,,,,,,,,,,
Owner draws / distributions,0,,,,,,,,,,,,,
Other operating costs,150,,,,,,,,,,,,,
TOTAL CASH OUT,2370,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NET CASH FLOW (in - out),7330,,,,,,,,,,,,,
CLOSING CASH BALANCE,49330,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MINIMUM CASH BUFFER,25000,25000,,,,,,,,,,,,
CASH ABOVE / (BELOW) BUFFER,24330,,,,,,,,,,,,,
,,,,,,,,,,,,,,
HOW TO USE,"Each day: Closing Balance = Opening + Total Cash In - Total Cash Out. Carry today's Closing into tomorrow's Opening. Watch the bottom row — the day it goes red is the day you'd run below your safety buffer.",,,,,,,,,,,,,
